1,"Ah... disculpa que no te presté atención. Me llamo Shrigwald, y mi gatito Mariano se quedó atorado en el árbol y no puede bajar. Creo que en la torre debe haber algo que pueda servir. Necesito que alguien me ayude a bajarlo. Lo haría yo mismo, pero no puedo dejarlo solo para buscar una escalera. Podría dejarte a ti cuidándolo, pero no confío en tus habilidades veterinarias por si se cae. ¿Podrías ayudarme?",,,2
2,"No te preocupes por nosotros, no iremos a ningún lado. Tal vez en mi casa puede haber algo de ayuda. Esta es la carta que uso para entrar las cartas otrogan habilidades y son cruciales para avanzar en esta mision","Debes viajar a la antigua torre de Brendar esa con la esfera gigante en lugar de techo. Cuando era solo una espora, ese lugar me daba mucho miedo.",,3
3,Recuerdo que habia una carta extraña con propiedades de transportación,Por seguridad la guarde en el horno espero que no le halla pasado nada,la guarde en el horno por que las marionetas le suelen tener miedo al fuego,4
4,"Mientras espero, estaba meditando en esto: si algún día te tiras al abismo, asegúrate de poder regresar. No digo que sea la revelación más brillante, pero es mejor que quedarse solo. Solo como no quiero que mi gato se sienta. Es por eso que estoy aquí, sedente.",,,5
5,¿Sabes? Siempre me llamó la atención esa torre más allá del puente. Los vientos son muy fuertes y los antiguos mecanismos de las alcantarillas me dificultan el paso.," En realidad, todo lo que conozco es mi casa, el viejo horno y mi gato",Así que entenderás que esta criatura representa una porción importante de mi vida.,6
6,"Si me preguntan por el Sr. o la Sra. hongo, debo comentarte que no estoy interesado en esos temas. Gracias a mi creador no dependo de otro. Mis esporas hacen todo el trabajo por mí, pero es peculiar. Desde que este gato entró en mi vida, las cosas han tomado otro rumbo. Es lindo preocuparse por otros; mis hijos hongos no son tan comunicativos. Y quién sabe, quizás tú podrías unirte a la familia. Hay espacio de sobra en este bosque.",,,7
7,"Solo piénsalo. Creo que podríamos hacer un buen trío. No, bueno, eso sonó mal... no de esa forma. Ya está, me callo.",,,8
8,"Volviendo al tema, mi gato está ahí, desquebrajándose en lágrimas. ¿No te duele? ¿No sientes su tormento? ¿Puedes estar en paz con eso?",,,9
9,"Me preocupa que así sea, para ser franco. Es como si no pudieras vivir ignorando el dolor ajeno. No me parece una forma de vivir. Poder, se puede, pero no creo que sea una vida digna o que merezca ser vivida.",,,35
10,"Oh, qué bueno verte. Acabo de encontrar esta escalera. Te estaba esperando para que me la sostengas. Ah, ¿ya encontraste un método para subir a ese árbol? Bueno, olvida eso.",,,11
11,"Me gusta charlar contigo, pero ahora es tu momento de brillar. Te dejo hacer los honores.",,,12
12,"Si te vas a quedar charlando con un hongo mientras mi gato se muere, me alegro de haber traído la escalera.",,,12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
20,"Al parecer solo quería un poco de afecto. No es que eso quiera decir que era menos urgente, pero es curioso. A veces uno entra en pánico cuando lo único que necesita es un poco de atención. Bueno, de igual forma tu ayuda ha sido indispensable para la paz de esta región y para el estado anímico de mi felino amigo. Ten esta carta, puedes usarla para cuando quieras despertar, pero nadie te está echando. Estas tierras son tan tuyas como nuestras.",,,21
21,"Ah, ¿sigues aquí? ¿Quieres quedarte un rato más? Bien por mí, encantado.",,,22
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
35,"Bueno, me pusiste incómodo. Si quieres ayudar a mi gato, bienvenido seas. Si no, mucha suerte.",,,35
